Date : 2025-02-23 09:56:10
Directory : d:\blog local\lira-gallery-website
Total : 82 files,  45561 codes, 177 comments, 1507 blanks, all 47245 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |         23 |     40,933 |          6 |         39 |     40,978 |
| HTML       |         30 |      2,439 |         25 |      1,062 |      3,526 |
| CSS        |          8 |      1,854 |        118 |        302 |      2,274 |
| JavaScript |          6 |        138 |         18 |         40 |        196 |
| Markdown   |         13 |         94 |          0 |         37 |        131 |
| YAML       |          1 |         62 |          9 |          9 |         80 |
| TOML       |          1 |         41 |          1 |         18 |         60 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         82 |     45,561 |        177 |      1,507 |     47,245 |
| . (Files)                                                                                |          1 |         41 |          1 |         18 |         60 |
| .github                                                                                  |          1 |         62 |          9 |          9 |         80 |
| .github\workflows                                                                        |          1 |         62 |          9 |          9 |         80 |
| archetypes                                                                               |          1 |          5 |          0 |          1 |          6 |
| content                                                                                  |         12 |         89 |          0 |         36 |        125 |
| content (Files)                                                                          |          2 |         18 |          0 |          9 |         27 |
| content\archive                                                                          |          2 |         15 |          0 |          5 |         20 |
| content\archive (Files)                                                                  |          1 |          9 |          0 |          3 |         12 |
| content\archive\blueprints                                                               |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions                                                                      |          8 |         56 |          0 |         22 |         78 |
| content\exhibitions\The-example-1                                                        |          1 |         10 |          0 |          2 |         12 |
| content\exhibitions\The-example-2                                                        |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\The-example-3                                                        |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\The-example-4                                                        |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\The-example-5                                                        |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\The-example-7                                                        |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\The-other-thing                                                      |          1 |          6 |          0 |          2 |          8 |
| content\exhibitions\the-hundred-year-window                                              |          1 |         10 |          0 |          8 |         18 |
| layouts                                                                                  |         12 |        314 |         25 |         78 |        417 |
| layouts (Files)                                                                          |          1 |         21 |          2 |          6 |         29 |
| layouts\_default                                                                         |          8 |        239 |         21 |         63 |        323 |
| layouts\partials                                                                         |          3 |         54 |          2 |          9 |         65 |
| public                                                                                   |         39 |     23,701 |         71 |      1,177 |     24,949 |
| public (Files)                                                                           |          3 |        244 |          0 |         55 |        299 |
| public\archive                                                                           |          2 |        239 |          0 |        127 |        366 |
| public\archive (Files)                                                                   |          1 |        128 |          0 |         71 |        199 |
| public\archive\blueprints                                                                |          1 |        111 |          0 |         56 |        167 |
| public\blueprints                                                                        |          1 |        120 |          0 |         57 |        177 |
| public\categories                                                                        |          2 |        102 |          0 |         42 |        144 |
| public\contacts                                                                          |          1 |        116 |          0 |         44 |        160 |
| public\css                                                                               |          4 |        927 |         59 |        151 |      1,137 |
| public\exhibitions                                                                       |         10 |      1,190 |          0 |        510 |      1,700 |
| public\exhibitions (Files)                                                               |          2 |        223 |          0 |         50 |        273 |
| public\exhibitions\the-example-1                                                         |          1 |        124 |          0 |         61 |        185 |
| public\exhibitions\the-example-2                                                         |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-2\second                                                  |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-3                                                         |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-3\thrid                                                   |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-4                                                         |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-4\fourt                                                   |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-5                                                         |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-5\five                                                    |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-7                                                         |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-example-7\severn                                                  |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-hundred-year-window                                               |          1 |        123 |          0 |         57 |        180 |
| public\exhibitions\the-other-thing                                                       |          1 |        120 |          0 |         57 |        177 |
| public\exhibitions\the-other-thing\fix                                                   |          1 |        120 |          0 |         57 |        177 |
| public\gallery                                                                           |          2 |        239 |          0 |        112 |        351 |
| public\gallery (Files)                                                                   |          1 |        119 |          0 |         55 |        174 |
| public\gallery\blueprints                                                                |          1 |        120 |          0 |         57 |        177 |
| public\js                                                                                |          3 |         69 |          9 |         20 |         98 |
| public\tags                                                                              |          2 |        102 |          0 |         42 |        144 |
| public\ui                                                                                |          9 |     20,353 |          3 |         17 |     20,373 |
| static                                                                                   |         16 |     21,349 |         71 |        188 |     21,608 |
| static\css                                                                               |          4 |        927 |         59 |        151 |      1,137 |
| static\js                                                                                |          3 |         69 |          9 |         20 |         98 |
| static\ui                                                                                |          9 |     20,353 |          3 |         17 |     20,373 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\blog local\lira-gallery-website\.github\workflows\hugp.yaml                           | YAML       |         62 |          9 |          9 |         80 |
| d:\blog local\lira-gallery-website\archetypes\default.md                                 | Markdown   |          5 |          0 |          1 |          6 |
| d:\blog local\lira-gallery-website\content\archive\blueprints\index.md                   | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\archive\index.md                              | Markdown   |          9 |          0 |          3 |         12 |
| d:\blog local\lira-gallery-website\content\contacts.md                                   | Markdown   |          9 |          0 |          3 |         12 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-1\index.md            | Markdown   |         10 |          0 |          2 |         12 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-2\second.md           | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-3\thrid.md            | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-4\fourt.md            | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-5\five.md             | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-example-7\severn.md           | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\The-other-thing\fix.md            | Markdown   |          6 |          0 |          2 |          8 |
| d:\blog local\lira-gallery-website\content\exhibitions\the-hundred-year-window\index.md  | Markdown   |         10 |          0 |          8 |         18 |
| d:\blog local\lira-gallery-website\content\gallery.md                                    | Markdown   |          9 |          0 |          6 |         15 |
| d:\blog local\lira-gallery-website\hugo.toml                                             | TOML       |         41 |          1 |         18 |         60 |
| d:\blog local\lira-gallery-website\layouts\_default\archive.html                         | HTML       |         38 |          4 |         11 |         53 |
| d:\blog local\lira-gallery-website\layouts\_default\baseof.html                          | HTML       |         37 |          4 |         10 |         51 |
| d:\blog local\lira-gallery-website\layouts\_default\baseof1.html                         | HTML       |         25 |          0 |         11 |         36 |
| d:\blog local\lira-gallery-website\layouts\_default\blueprints.html                      | HTML       |         26 |          2 |          7 |         35 |
| d:\blog local\lira-gallery-website\layouts\_default\contacts.html                        | HTML       |         28 |          2 |          3 |         33 |
| d:\blog local\lira-gallery-website\layouts\_default\gallery.html                         | HTML       |         30 |          4 |          8 |         42 |
| d:\blog local\lira-gallery-website\layouts\_default\list.html                            | HTML       |         15 |          0 |          1 |         16 |
| d:\blog local\lira-gallery-website\layouts\_default\single.html                          | HTML       |         40 |          5 |         12 |         57 |
